1.027399770076940166e+00,9.858333333333333393e-01,1.000000000000000000e+00
1.027343246091458884e+00,9.858333333333333393e-01,1.000000000000000000e+00
1.027286838683050929e+00,9.858333333333333393e-01,1.000000000000000000e+00
1.027230547611334144e+00,9.841666666666667451e-01,1.000000000000000000e+00
1.027174273050052378e+00,9.808333333333331128e-01,1.000000000000000000e+00
1.027118128836762567e+00,9.858333333333330062e-01,1.000000000000000000e+00
1.027062809058439496e+00,9.566666666666665542e-01,1.008333333333333304e+00
1.027026326186429417e+00,9.174999999999999822e-01,1.025000000000000133e+00
1.027024884328170851e+00,8.633333333333331749e-01,1.033333333333333437e+00
1.027040093397401987e+00,8.241666666666666030e-01,1.033333333333333437e+00
1.027053762367615697e+00,7.758333333333333748e-01,1.025000000000000133e+00
1.027044323621842947e+00,7.458333333333334592e-01,1.008333333333333304e+00
1.027001458625337316e+00,7.149999999999999689e-01,9.916666666666666963e-01
1.026925442343435302e+00,6.933333333333333570e-01,9.916666666666666963e-01
1.026848691258256618e+00,6.741666666666666918e-01,9.916666666666666963e-01
1.026771613830299801e+00,6.641666666666666829e-01,9.900000000000001021e-01
1.026688636929886878e+00,6.533333333333332105e-01,9.875000000000001554e-01
1.026597044417971949e+00,6.424999999999999600e-01,9.866666666666666918e-01
1.026499707079572721e+00,6.383333333333333082e-01,9.866666666666666918e-01
1.026401806240086367e+00,6.250000000000000000e-01,9.866666666666666918e-01
1.026307441904410700e+00,6.366666666666666030e-01,9.866666666666666918e-01
1.026217272091114907e+00,6.324999999999999512e-01,9.849999999999999867e-01
1.026121400123262806e+00,6.275000000000000577e-01,9.825000000000000400e-01
1.026015353545299158e+00,6.224999999999999423e-01,9.808333333333334458e-01
1.025902673616318372e+00,6.108333333333332282e-01,9.683333333333333792e-01
1.025746239465294751e+00,6.049999999999999822e-01,9.666666666666667851e-01
1.025582667937134929e+00,5.916666666666666741e-01,9.649999999999999689e-01
1.025411829319624823e+00,5.883333333333332638e-01,9.633333333333333748e-01
1.025234327981488391e+00,5.675000000000000044e-01,9.616666666666665586e-01
1.025040837494226365e+00,5.624999999999998890e-01,9.599999999999999645e-01
1.024839060456545825e+00,5.566666666666666430e-01,9.583333333333333703e-01
1.024629642510038741e+00,5.350000000000000311e-01,9.566666666666666652e-01
1.024400582700436768e+00,5.266666666666667274e-01,9.550000000000000711e-01
1.024162015749704446e+00,5.041666666666667629e-01,9.541666666666666075e-01
1.023900141292698240e+00,4.841666666666666896e-01,9.541666666666666075e-01
1.023574970104900617e+00,4.791666666666666852e-01,9.550000000000000711e-01
1.023252013022307727e+00,4.658333333333332660e-01,9.558333333333332016e-01
1.022912875942000310e+00,4.708333333333333814e-01,9.558333333333332016e-01
1.022607739395485327e+00,4.675000000000000266e-01,9.583333333333333703e-01
1.022308811517164573e+00,4.633333333333333748e-01,9.658333333333333215e-01
1.022047974639709755e+00,4.591666666666666674e-01,9.733333333333332726e-01
1.021803878006564359e+00,4.558333333333333681e-01,9.741666666666666252e-01
1.021558003882710564e+00,4.516666666666666607e-01,9.733333333333332726e-01
